,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_anxious_5d,2021-01-05,2021-01-10,5,15.7683486,1.2348713,871.0,state,fb-survey
1,al,smoothed_anxious_5d,2021-01-05,2021-01-10,5,16.0173597,0.5457683,4516.1034,state,fb-survey
2,ar,smoothed_anxious_5d,2021-01-05,2021-01-10,5,19.4237195,0.6955885,3234.7057,state,fb-survey
3,az,smoothed_anxious_5d,2021-01-05,2021-01-10,5,16.9635884,0.4741221,6266.2241,state,fb-survey
4,ca,smoothed_anxious_5d,2021-01-05,2021-01-10,5,16.9565067,0.2242414,28003.3666,state,fb-survey
5,co,smoothed_anxious_5d,2021-01-05,2021-01-10,5,16.9317743,0.4990333,5647.7866,state,fb-survey
6,ct,smoothed_anxious_5d,2021-01-05,2021-01-10,5,16.3973064,0.5547806,4454.0,state,fb-survey
7,dc,smoothed_anxious_5d,2021-01-05,2021-01-10,5,13.8221154,1.6941861,415.0,state,fb-survey
8,de,smoothed_anxious_5d,2021-01-05,2021-01-10,5,14.2195296,0.9327448,1402.0,state,fb-survey
9,fl,smoothed_anxious_5d,2021-01-05,2021-01-10,5,14.7030723,0.2579926,18842.0013,state,fb-survey
10,ga,smoothed_anxious_5d,2021-01-05,2021-01-10,5,15.9863122,0.4417361,6882.9185,state,fb-survey
11,hi,smoothed_anxious_5d,2021-01-05,2021-01-10,5,12.7669452,1.0173676,1076.0,state,fb-survey
12,ia,smoothed_anxious_5d,2021-01-05,2021-01-10,5,13.5597287,0.5408334,4007.1923,state,fb-survey
13,id,smoothed_anxious_5d,2021-01-05,2021-01-10,5,16.202747,0.7969688,2137.646,state,fb-survey
14,il,smoothed_anxious_5d,2021-01-05,2021-01-10,5,16.2987289,0.3310095,12451.0213,state,fb-survey
15,in,smoothed_anxious_5d,2021-01-05,2021-01-10,5,17.9055016,0.4651783,6793.0001,state,fb-survey
16,ks,smoothed_anxious_5d,2021-01-05,2021-01-10,5,16.3274892,0.6454838,3278.925,state,fb-survey
17,ky,smoothed_anxious_5d,2021-01-05,2021-01-10,5,17.91603,0.5722089,4491.4947,state,fb-survey
18,la,smoothed_anxious_5d,2021-01-05,2021-01-10,5,17.2426435,0.566631,4444.3665,state,fb-survey
19,ma,smoothed_anxious_5d,2021-01-05,2021-01-10,5,19.5879153,0.5147719,5944.015,state,fb-survey
20,md,smoothed_anxious_5d,2021-01-05,2021-01-10,5,15.7585143,0.5235025,4843.9967,state,fb-survey
21,me,smoothed_anxious_5d,2021-01-05,2021-01-10,5,18.3057667,0.8178125,2236.0,state,fb-survey
22,mi,smoothed_anxious_5d,2021-01-05,2021-01-10,5,16.7712892,0.339646,12100.0363,state,fb-survey
23,mn,smoothed_anxious_5d,2021-01-05,2021-01-10,5,16.4185396,0.5337026,4817.7684,state,fb-survey
24,mo,smoothed_anxious_5d,2021-01-05,2021-01-10,5,17.979086,0.5132932,5597.076,state,fb-survey
25,ms,smoothed_anxious_5d,2021-01-05,2021-01-10,5,16.4708054,0.6877641,2908.5335,state,fb-survey
26,mt,smoothed_anxious_5d,2021-01-05,2021-01-10,5,17.1683625,0.9837556,1469.4361,state,fb-survey
27,nc,smoothed_anxious_5d,2021-01-05,2021-01-10,5,15.883837,0.3474109,11070.012,state,fb-survey
28,nd,smoothed_anxious_5d,2021-01-05,2021-01-10,5,15.6642343,1.3455087,729.706,state,fb-survey
29,ne,smoothed_anxious_5d,2021-01-05,2021-01-10,5,14.7845273,0.7773337,2085.0234,state,fb-survey
30,nh,smoothed_anxious_5d,2021-01-05,2021-01-10,5,17.5295858,0.8445163,2027.0,state,fb-survey
31,nj,smoothed_anxious_5d,2021-01-05,2021-01-10,5,15.0366389,0.4371275,6685.9977,state,fb-survey
